audio_id,device,source_sr,foldable_energy_pct,passband_deviation_pct,max_excess_pct
ICBHI_223_1b1_AL,Meditron,10000,0.0004510308553297665,0.009978143458577726,0.009978143458577726
ICBHI_223_1b1_AR,Meditron,10000,0.0006721922327447667,0.013946889079319291,0.013946889079319291
ICBHI_223_1b1_LL,Meditron,10000,4.874194972006228e-05,0.013503095625799766,0.009157927488590012
ICBHI_223_1b1_LR,Meditron,10000,0.0002125254996738175,0.014483189203451374,0.014483189203451374
ICBHI_223_1b1_PL,Meditron,10000,7.458016374388014e-05,0.013741365308472808,0.013741365308472808
ICBHI_223_1b1_PR,Meditron,10000,1.1472512452925307e-05,0.014577854505071208,0.014577854505071208
ICBHI_107_2b3_AL,AKGC417L,44100,0.0010323299770377218,0.005382295235112355,0.0037339145086967562
ICBHI_107_2b3_AR,AKGC417L,44100,0.0004128783251047822,0.006327197274158536,0.006327197274158536
ICBHI_107_2b3_LL,AKGC417L,44100,0.022630758007668266,0.005615087024812837,0.005615087024812837
ICBHI_107_2b3_LR,AKGC417L,44100,0.012677344402704788,0.005504907333175879,0.040752745367722554
ICBHI_107_2b3_PL,AKGC417L,44100,0.0017618870552298742,0.019781470578528193,0.03406572429995869
ICBHI_107_2b3_PR,AKGC417L,44100,0.006636039012121048,0.017445134146520935,0.017876625834811755
ICBHI_107_2b3_TC,AKGC417L,44100,0.0002669854139639054,0.010120156591109097,0.004795135989255073
ICBHI_107_2b4_AL,AKGC417L,44100,0.0010446362808829218,0.010743117381428746,0.006445222824269514
ICBHI_107_2b4_AR,AKGC417L,44100,0.0004623601570700451,0.00870461620789964,0.00870461620789964
ICBHI_107_2b4_LL,AKGC417L,44100,0.0212213048527722,0.011998240316857256,0.011998240316857256
ICBHI_107_2b4_LR,AKGC417L,44100,0.015259776556035554,0.008825634613662814,0.03375564034711065
ICBHI_107_2b4_PL,AKGC417L,44100,0.0010753621783352227,0.007414826357776683,0.002992017651259893
ICBHI_103_2b2_AR,LittC2SE,44100,0.00019112410466060997,0.009252067706455591,0.009252067706455591
ICBHI_106_2b1_PL,LittC2SE,44100,0.010629709703100593,0.005085411669103479,0.015948770398699352
ICBHI_106_2b1_PR,LittC2SE,44100,5.706969878665056e-05,0.008175154223710734,0.008175154223710734
ICBHI_117_1b2_TC,LittC2SE,44100,0.007862042155354033,0.0175135158281714,0.01890042909935552
ICBHI_117_1b3_TC,LittC2SE,44100,0.005086318862248237,0.017517503315844785,0.021843779713437428
ICBHI_122_2b1_AL,LittC2SE,44100,0.005937248971748349,0.015976493194358454,0.02143343648177698
ICBHI_122_2b1_AR,LittC2SE,44100,0.0008636611076718836,0.019639907322221983,-0.0007075939318368363
ICBHI_122_2b1_TC,LittC2SE,44100,0.0014347236789804235,0.02230024510513351,3.057579671672528e-05
ICBHI_122_2b2_AL,LittC2SE,44100,0.0008861073168122389,0.01323987778576452,0.01323987778576452
ICBHI_122_2b2_AR,LittC2SE,44100,0.0005279113744972599,0.0196498739653439,0.0196498739653439
ICBHI_122_2b2_TC,LittC2SE,44100,0.0010630416767567115,0.010477588420854111,0.010477588420854111
ICBHI_122_2b3_AL,LittC2SE,44100,0.0009553301516881641,0.012095528297484393,0.012095528297484393
ICBHI_101_1b1_AL,Meditron,44100,7.736699906191199e-05,0.012784427217604755,0.005453238758068579
ICBHI_101_1b1_PR,Meditron,44100,0.00022790742597261204,0.011875839839059488,0.0035334557682675793
ICBHI_102_1b1_AR,Meditron,44100,0.0005635316359435021,0.006815048138286706,0.01803946082910013
ICBHI_105_1b1_TC,Meditron,44100,0.19938550012916761,0.010830665989614019,0.01921153994723923
ICBHI_108_1b1_AL,Meditron,44100,5.7384260591599546e-05,0.010712337321527876,0.0007351207115924296
ICBHI_111_1b2_TC,Meditron,44100,0.08778438970708535,0.017352802781300802,0.017352802781300802
ICBHI_111_1b3_TC,Meditron,44100,0.06116949258652994,0.012854021142016947,0.022974929830699153
ICBHI_115_1b1_AR,Meditron,44100,0.0002471178019233072,0.007799324905932714,0.023956774359645827
ICBHI_116_1b2_PL,Meditron,44100,0.008804248738570981,0.01894436809986022,0.02133072084593568
ICBHI_116_1b2_TC,Meditron,44100,0.00809619782743054,0.009570579240714139,0.009570579240714139
ICBHI_119_1b1_AR,Meditron,44100,0.05112414283842344,0.010529219829780168,0.010529219829780168
ICBHI_121_1b1_TC,Meditron,44100,0.001379771213816066,0.014001314588840685,0.01993694409463398
